Город,Регион,Лаборатории
Алагир,Республика Северная Осетия — Алания,Инвитро
Алатырь,Чувашская Республика,Инвитро
Александров,Владимирская область,Инвитро
Алексеевка,Белгородская область,Инвитро
Алексин,Тульская область,Инвитро
Алушта,Республика Крым,"Инвитро, Хеликс"
Анапа,Краснодарский край,КДЛ
Ангарск,Иркутская область,Инвитро
Аргун,Чеченская Республика,Инвитро
Ардон,Республика Северная Осетия — Алания,Хеликс
Армавир,Краснодарский край,КДЛ
Армянск,Республика Крым,Инвитро
Арсеньев,Приморский край,Инвитро
Артём,Приморский край,Инвитро
Архангельск,Архангельская область,"Инвитро, Хеликс"
Астрахань,Астраханская область,КДЛ
Аша,Челябинская область,Инвитро
Баксан,Кабардино-Балкарская Республика,"Инвитро, Хеликс"
Балабаново,Калужская область,Инвитро
Балаково,Саратовская область,КДЛ
Балашиха,Московская область,КДЛ
Барнаул,Алтайский край,"Инвитро, КДЛ, Хеликс"
Бахчисарай,Республика Крым,"Инвитро, Хеликс"
Белая Калитва,Ростовская область,КДЛ
Белгород,Белгородская область,Инвитро
Белово,Кемеровская область,КДЛ
Белогорск,Амурская область,"Инвитро, Хеликс"
Бердск,Новосибирская область,КДЛ
Березники,Пермский край,КДЛ
Бийск,Алтайский край,"Инвитро, Хеликс"
Благовещенск,Амурская область,Инвитро
Благодарный,Ставропольский край,"Инвитро, Хеликс"
Богородицк,Тульская область,Инвитро
Большой Камень,Приморский край,Инвитро
Борисовка,Белгородская область,Инвитро
Боровичи,Новгородская область,"Инвитро, Хеликс"
Боровск,Калужская область,Инвитро
Братск,Иркутская область,Инвитро
Брянск,Брянская область,Инвитро
Бугуруслан,Оренбургская область,Инвитро
Будённовск,Ставропольский край,"Инвитро, Хеликс"
Бузулук,Оренбургская область,Инвитро
Буйнакск,Республика Дагестан,"Инвитро, Хеликс"
Валуйки,Белгородская область,Инвитро
Великие Луки,Псковская область,"Инвитро, Хеликс"
Великий Новгород,Новгородская область,"Инвитро, Хеликс"
Верхнеуральск,Челябинская область,Инвитро
Верхний Уфалей,Челябинская область,Инвитро
Вичуга,Ивановская область,Инвитро
Владивосток,Приморский край,Инвитро
Владикавказ,Республика Северная Осетия — Алания,"Инвитро, Хеликс"
Владимир,Владимирская область,"Инвитро, Хеликс"
Волгоград,Волгоградская область,"Инвитро, КДЛ"
